名,資料一,資料二,資料三,,,,,,,,,,,,
玉山,23.470002,120.957274,3952,,,,,,,,,,,,
雪山,24.383401,121.231754,3886,,,,,,,,,,,,
玉山東峰,23.470775,120.965668,3869,,,,,,,,,,,,
玉山北峰,23.487452,120.959672,3858,,,,,,,,,,,,
玉山南峰,23.446581,120.958784,3844,,,,,,,,,,,,
秀姑巒山,23.496791,121.05744,3805,,,,,,,,,,,,
馬博拉斯山,23.52034,121.067236,3785,,,,,,,,,,,,
南湖大山,24.361805,121.439359,3742,,,,,,,,,,,,
東小南山,23.439036,120.963411,3711,,,,,,,,,,,,
中央尖山,24.310226,121.416203,3705,,,,,,,,,,,,
雪山北峰,24.414724,121.240396,3703,,,,,,,,,,,,
關山,23.228086,120.911717,3668,,,,,,,,,,,,
大水窟山,24.365894,121.450661,3642,,,,,,,,,,,,
南湖大山東峰,23.473853,121.038618,3632,,,,,,,,,,,,
東郡大山,23.626735,121.092082,3619,,,,,,,,,,,,
奇萊北峰,24.118339,121.334539,3607,,,,,,,,,,,,
向陽山,23.284291,120.992423,3603,,,,,,,,,,,,
大劍山,24.340941,121.200492,3594,,,,,,,,,,,,
雲峰,23.353743,120.975757,3564,,,,,,,,,,,,
奇萊主山,24.085997,121.323234,3560,,,,,,,,,,,,
馬利加南山,23.521592,121.117171,3546,,,,,,,,,,,,
南湖北山,24.383669,121.437171,3536,,,,,,,,,,,,
大雪山,24.330751,121.121182,3530,,,,,,,,,,,,
品田山,24.428214,121.266816,3524,,,,,,,,,,,,
玉山西峰,23.472426,120.934205,3518,,,,,,,,,,,,
頭鷹山,24.359607,121.140723,3510,,,,,,,,,,,,
三叉山,23.297183,121.028671,3496,,,,,,,,,,,,
大霸尖山,24.457743,121.258031,3492,,,,,,,,,,,,
南湖大山南峰,24.347784,121.434582,3475,,,,,,,,,,,,
東巒大山,23.648667,121.081564,3468,,,,,,,,,,,,
無明山,24.255559,121.384663,3451,,,,,,,,,,,,
巴巴山,24.342411,121.43782,3449,,,,,,,,,,,,
馬西山,23.483755,121.173967,3443,,,,,,,,,,,,
北合歡山,24.181496,121.281587,3422,,,,,,,,,,,,
合歡山東峰,24.135671,121.281033,3421,,,,,,,,,,,,
小霸尖山,24.45557,121.252049,3418,,,,,,,,,,,,
合歡山,24.142632,121.271166,3417,,,,,,,,,,,,
南玉山,23.429276,120.92491,3383,,,,,,,,,,,,
畢祿山,24.213579,121.347162,3371,,,,,,,,,,,,
卓社大山,23.834571,121.115822,3369,,,,,,,,,,,,
奇萊南峰,24.061219,121.279809,3358,,,,,,,,,,,,
南雙頭山,23.346062,121.010532,3356,,,,,,,,,,,,
能高山南峰,23.965374,121.278083,3349,,,,,,,,,,,,
志佳陽大山,24.202683,121.108962,3345,,,,,,,,,,,,
白姑大山,23.490196,121.009592,3341,,,,,,,,,,,,
八通關山,23.316418,121.127384,3335,,,,,,,,,,,,
新康山,23.600421,121.213543,3331,,,,,,,,,,,,
丹大山,24.432621,121.304898,3325,,,,,,,,,,,,
桃山,24.306633,121.187996,3325,,,,,,,,,,,,
佳陽山,24.381922,121.175055,3314,,,,,,,,,,,,
火石山,24.431102,121.28814,3310,,,,,,,,,,,,
池有山,24.469989,121.243603,3303,,,,,,,,,,,,
伊澤山,23.051181,120.874204,3297,,,,,,,,,,,,
卑南主山,23.577365,120.962368,3295,,,,,,,,,,,,
干卓萬山,24.357779,121.251324,3284,,,,,,,,,,,,
太魯閣大山,23.876045,121.138989,3283,,,,,,,,,,,,
轆轆山,24.079077,121.420976,3279,,,,,,,,,,,,
喀西帕南山,23.391362,120.99808,3276,,,,,,,,,,,,
內嶺爾山,23.468634,121.195221,3275,,,,,,,,,,,,
鈴鳴山,23.579269,121.19605,3272,,,,,,,,,,,,
郡大山,24.24438,121.351647,3265,,,,,,,,,,,,
能高山,23.992334,121.260253,3262,,,,,,,,,,,,
萬東山西峰,23.851873,121.185522,3258,,,,,,,,,,,,
劍山,24.295572,121.170202,3253,,,,,,,,,,,,
屏風山,24.149275,121.342934,3250,,,,,,,,,,,,
小關山,23.151654,120.87612,3249,,,,,,,,,,,,
義西請馬至山,23.58646,121.153265,3245,,,,,,,,,,,,
牧山,23.862896,121.160214,3241,,,,,,,,,,,,
玉山前峰,23.475605,120.917662,3239,,,,,,,,,,,,
石門山,24.152435,121.284587,3237,,,,,,,,,,,,
無雙山,23.59157,121.05432,3231,,,,,,,,,,,,
塔關山,23.251966,120.94222,3222,,,,,,,,,,,,
馬比杉山,24.348325,121.485633,3211,,,,,,,,,,,,
達芬尖山,23.43296,121.01322,3208,,,,,,,,,,,,
雪山東峰,24.388687,121.272073,3201,,,,,,,,,,,,
南華山,24.039337,121.285918,3184,,,,,,,,,,,,
